name,niche,address,state,phone_number,website,result_url
Peak Builders & Roofers of San Diego,roofers,"8340 Vickers St K, San Diego, CA 92111, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJe8bZULLvTI4RZCnNkezHFGQ
Roofing Specialists of San Diego,roofers,"7905 Silverton Ave UNIT 112, San Diego, CA 92126, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ6Wc6jOIG3IARRR8xNOSkpMQ
Dana Logsdon Roofing & Solar,roofers,"1483 Cuyamaca St, El Cajon, CA 92020, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJjQBmKdtU2YARhwWsYVqkAmA
Resilient Roofing,roofers,"7950 Dunbrook Rd, San Diego, CA 92126, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJiWR0Ooyr3oAR7ye9O0OiuWc
Ascent Roofing San Diego,roofers,"2525 Southport Way ste j, National City, CA 91950, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJAQDwFMZI2YAR5xcgVDz_GfI
619 Roofing,roofers,"3930 Oregon St Suite 254, San Diego, CA 92104, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ667abtUB3IAR2Plzz8VSmzk
"San Diego Roofing, INC.",roofers,"2811 Adams Ave, San Diego, CA 92116, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ-UZd9P1U2YAROsa56-bYZ20
The Roof Masters,roofers,"2304 La Mirada Dr, Vista, CA 92081, United States",LA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ3-WYCUJw3IARmfRya1lWV1s
Atlas Roofing,roofers,"4455 Murphy Canyon Rd #100, San Diego, CA 92123, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ_ah-bc7_24ARQNUXApP18ls
Alma Roofing,roofers,"4538 Cass St, San Diego, CA 92109, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ86tTDlMB3IAROtDW1Yo67Mg
Build Brothers Inc.,roofers,"7765 Arjons Dr, San Diego, CA 92126, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ1TKfFGt13IARjJgDub9OxfM
TR Construction,roofers,"9335 Mira Mesa Blvd, San Diego, CA 92126, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJSTAI0x3524AR_WsM3wxQlCw
San Diego County Roofing & Solar,roofers,"1761 Hotel Cir S Suite 110, San Diego, CA 92108, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ98GEl4sL3IARaLo9NhDrl-A
Colin's Emergency Roofers,roofers,"6922 Mission Gorge Rd #9030, San Diego, CA 92120, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJF9U-5mRV2YARnYzw4lOSn0o
"Christian Roofing, Inc",roofers,"1226 Greenfield Dr, El Cajon, CA 92021, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJkXknF0tZ2YAR5JmoNGsUXHw
RC Roofing Inc.,roofers,"8360 Clairemont Mesa Blvd STE 105, San Diego, CA 92111, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJf9Wr9Mr_24ARO2KfdBiWJxY
"Premium Roof Services, Inc.",roofers,"659 Grand Ave, Spring Valley, CA 91977, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJwQYEZ4NT2YARoLC2Xf0XzHQ
"Mark Anthony Construction and Roofing, Inc.",roofers,"133 N Pacific St Suite A, San Marcos, CA 92069, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ_6Yv45gK3IARfW7Bbks1UtU
Preman Roofing-Solar,roofers,"875 34th St, San Diego, CA 92102, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJfYrgyZSq3oARpQG7O2bDJQQ
Exclusively Roofing Inc.,roofers,"4013 Texas St UNIT 4, San Diego, CA 92104, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJQTODSFVT2YARFWdhIQiqIKo
Delah Coffee,coffee shops,"370 4th St, San Francisco, CA 94107, USA",CA,(415) 377-2444,https://delahcoffee.com/order-online/,https://maps.google.com/?cid=10682847123881919373
Caffe Trieste,coffee shops,"601 Vallejo St., San Francisco, CA 94133, USA",CA,(415) 392-6739,https://caffetrieste.com/,https://maps.google.com/?cid=17162634662590724078
Simple Pleasures Cafe,coffee shops,"3434 Balboa St, San Francisco, CA 94121, USA",CA,(415) 387-4022,https://facebook.com/Simple-Pleasures-Cafe-111319895562806,https://maps.google.com/?cid=13828349225651807365
Scullery,coffee shops,"687 Geary St, San Francisco, CA 94102, USA",CA,(415) 440-4497,http://www.scullerysf.com/,https://maps.google.com/?cid=10381799083371853276
The Buena Vista,coffee shops,"2765 Hyde St, San Francisco, CA 94109, USA",CA,(415) 474-5044,http://www.thebuenavista.com/home/home.html,https://maps.google.com/?cid=14927879775871877059
The Coffee Berry SF,coffee shops,"1410 Lombard St, San Francisco, CA 94123, USA",CA,(415) 800-7073,http://thecoffeeberrysf.com/,https://maps.google.com/?cid=5181132708478222499
The Coffee Movement,coffee shops,"1737 Balboa St, San Francisco, CA 94121, USA",CA,NOT AVAILABLE,https://www.thecoffeemovement.com/,https://maps.google.com/?cid=2726196137705445702
Sextant Coffee Roasters,coffee shops,"1415 Folsom St, San Francisco, CA 94103, USA",CA,(415) 355-1415,http://sextantcoffee.com/,https://maps.google.com/?cid=16500984014294458956
Flywheel Coffee Roasters,coffee shops,"672 Stanyan St, San Francisco, CA 94117, USA",CA,(415) 682-4023,https://flywheelcoffee.com/,https://maps.google.com/?cid=15746101247581114744
Blue Bottle Coffee,coffee shops,"315 Linden St, San Francisco, CA 94102, USA",CA,(510) 661-3510,https://bluebottlecoffee.com/,https://maps.google.com/?cid=13757888117856636050
Golden Bear Trading Company,coffee shops,"1401 6th Ave, San Francisco, CA 94122, USA",CA,(415) 664-5574,http://goldenbeartrading.com/,https://maps.google.com/?cid=11656752298015740408
Ritual Coffee Roasters,coffee shops,"432b Octavia St, San Francisco, CA 94102, USA",CA,(415) 865-0989,http://ritualcoffee.com/,https://maps.google.com/?cid=10903372771022708750
Ritual Coffee Roasters,coffee shops,"1026 Valencia St, San Francisco, CA 94110, USA",CA,(415) 641-1011,http://ritualcoffee.com/,https://maps.google.com/?cid=7742604836892468051
The Coffee Movement,coffee shops,"1030 Washington St, San Francisco, CA 94108, USA",CA,NOT AVAILABLE,https://www.thecoffeemovement.com/,https://maps.google.com/?cid=2067360649617373617
CoffeeShop,coffee shops,"2761 21st St, San Francisco, CA 94110, USA",CA,(415) 368-3802,https://www.coffeeshopsf.com/,https://maps.google.com/?cid=9445147020976918170
Four Barrel Coffee,coffee shops,"375 Valencia St, San Francisco, CA 94103, USA",CA,(415) 935-0604,http://www.fourbarrelcoffee.com/,https://maps.google.com/?cid=15508552329857280923
The Mill,coffee shops,"736 Divisadero St, San Francisco, CA 94117, USA",CA,(415) 345-1953,http://www.themillsf.com/,https://maps.google.com/?cid=1754822383999794408
Taylor Street Coffee Shop,coffee shops,"375 Taylor St, San Francisco, CA 94102, USA",CA,(415) 567-4031,http://taylor-street-coffee-shop.cafes-city.com/,https://maps.google.com/?cid=2227743258398093537
Doppio Coffee & Brunch,coffee shops,"1551 Mission St, San Francisco, CA 94103, USA",CA,(628) 867-7985,https://doppiosf.com/,https://maps.google.com/?cid=16475263059648961979
CoffeeShop,coffee shops,"3139 Mission St, San Francisco, CA 94110, USA",CA,(415) 368-3802,https://subscribecoffeeshop.com/,https://maps.google.com/?cid=11075221445283338773
