name,niche,address,state,phone_number,website,email,result_url
Viaggia Quasi Gratis,agenzie di viaggio,"Via Giuseppe Buonocore, 31/33,35, 80143 Napoli NA, Italy",NA,081 562 2821,http://www.viaggiaquasigratis.com/,NOT AVAILABLE,https://maps.google.com/?cid=17341733794634760917
Agenzia - Avenida Viaggi - Napoli,agenzie di viaggio,"Via Tommaso Caravita, 22, 80134 Napoli NA, Italy",NA,081 1957 6737,http://www.avenidaviaggi.it/,NOT AVAILABLE,https://maps.google.com/?cid=13450540055846565395
Scoop Travel Service S.r.l.,agenzie di viaggio,"Via Gian Lorenzo Bernini, 90a, 80129 Napoli NA, Italy",NA,081 556 4898,https://www.scooptravel.it/,operativo@scooptravel.it,https://maps.google.com/?cid=8699170797921568825
Agenzia di Viaggi Marytour Napoli,agenzie di viaggio,"Via dei Fiorentini, 47/49, 80133 Napoli NA, Italy",NA,081 551 0512,https://www.marytour.it/,NOT AVAILABLE,https://maps.google.com/?cid=10138060725045570468
Gondwana Viaggi,agenzie di viaggio,"Piazza Gian Battista Vico, 43, 80137 Napoli NA, Italy",NA,081 780 9590,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/?cid=4129411735336480985
Lab. Gialù,agenzie di viaggio,"V. Salvator Rosa, 80136 Napoli NA, Italy",NA,081 1956 7312,http://www.piratinviaggio.com/,info@piratinviaggio.com,https://maps.google.com/?cid=16549160935333706663
Agenzia Leoga Viaggi - Napoli Self Tour,agenzie di viaggio,"Via Stella, 136, 80137 Napoli NA, Italy",NA,081 557 1101,https://www.leogaviaggi.com/,NOT AVAILABLE,https://maps.google.com/?cid=1181545817743492025
Mister White Travel,agenzie di viaggio,"Piazza Giovanni Bovio, 20, 80133 Napoli NA, Italy",NA,081 551 2478,http://www.misterwhitetravel.it/,NOT AVAILABLE,https://maps.google.com/?cid=12217346640047471106
La Casa di Tourist,agenzie di viaggio,"Via Chiaia, 216, 80132 Napoli NA, Italy",NA,081 376 8725,https://www.lacasaditourist.com/,info@lacasaditourist.comloginlogin,https://maps.google.com/?cid=14026582657673974294
AGENZIA VIAGGI DOVE C'E' IL MARE NAPOLI,agenzie di viaggio,"C.so S. Giovanni a Teduccio, 838, 80146 Napoli NA, Italy",NA,081 1887 0818,https://www.doveceilmare.it/,NOT AVAILABLE,https://maps.google.com/?cid=10537483343141886106
Schema Vacanze Agenzia Viaggi - Tour Operator,agenzie di viaggio,"Centro direzionale, is. g1, Via Giovanni Porzio, 4, 80143 Napoli NA, Italy",NA,081 767 0387,https://www.schemavacanze.it/,info@schemavacanze.it,https://maps.google.com/?cid=11125191744810576272
GREETINGS FROM ... Travel & Tourism,agenzie di viaggio,"Via Antonio Tari, 18, 80138 Napoli NA, Italy",NA,081 563 4261,http://www.salutida.com/,info@salutida.com,https://maps.google.com/?cid=16065812251773089946
inStazione servizi turistici,agenzie di viaggio,"P.za Giuseppe Garibaldi, 80142 Napoli NA, Italy",NA,388 076 9471,https://instazione.it/,NOT AVAILABLE,https://maps.google.com/?cid=9908927097641176045
Venezuelana Agenzia di viaggi,agenzie di viaggio,"Viale Colli Aminei, 134, 80131 Napoli NA, Italy",NA,081 1981 0287,http://venezuelanatours.com/,NOT AVAILABLE,https://maps.google.com/?cid=12420509856232049250
Chiaia Viaggi di Daver Sas,agenzie di viaggio,"Largo Ferrandina, 1, 80121 Napoli NA, Italy",NA,081 1957 4904,http://chiaiaviaggi.it/,info@chiaiaviaggi.itindirizzolargo,https://maps.google.com/?cid=3331531500320854308
Viaggi Insoliti per Conoscere il Mondo di Free Time sas di Scanu Antonio e C.,agenzie di viaggio,"Via Ponte di Tappia, 43, 80133 Napoli NA, Italy",NA,081 552 7878,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/?cid=10738978698447214885
Travel Tips - Agenzia di Viaggi,agenzie di viaggio,"Via Orazio, 149 A, 80122 Napoli NA, Italy",NA,081 640041,http://www.traveltips.it/,info@traveltips.itcontattaciil,https://maps.google.com/?cid=6501984477581658027
Atomika Viaggi,agenzie di viaggio,"Via Fabrizio Pignatelli, 2, 80134 Napoli NA, Italy",NA,081 1865 8680,http://www.atomikaviaggi.it/,conferme@atomikaviaggi.itindirizzovia,https://maps.google.com/?cid=17381539869288922232
Fancy Tour,agenzie di viaggio,"Via Francesco Petrarca, 161, 80122 Napoli NA, Italy",NA,081 575 2442,https://www.fancy.it/,info@fancy.it,https://maps.google.com/?cid=3828518802875174536
"Agenzia viaggi ""Turistas viaggi da sogno"" Napoli",agenzie di viaggio,"Strada Provinciale Madonnelle, 101, 80147 Napoli NA, Italy",NA,081 1867 1722,http://www.turistasviaggi.it/,NOT AVAILABLE,https://maps.google.com/?cid=15504432737791716242
Agenzia Che Viaggio,agenzie di viaggio,"Via Giuseppe di Vittorio, 70, 80029 Sant'Antimo NA, Italy",NA,081 843 4124,https://www.agenziacheviaggio.it/,info@agenziacheviaggio.it,https://maps.google.com/?cid=15182976260800056169
Si Travel Napoli Vomero,agenzie di viaggio,"Via Sigmund Freud, 59, 80131 Napoli NA, Italy",NA,081 545 4200,https://www.facebook.com/freud59,NOT AVAILABLE,https://maps.google.com/?cid=11281415873500849008
Dimmi Dove e Quando srl,agenzie di viaggio,"Via Colonnello Carlo Lahalle, 11, 80141 Napoli NA, Italy",NA,350 942 9339,https://www.instagram.com/dimmidoveequando_official?igsh=Nm92dDNydjBlYm01,NOT AVAILABLE,https://maps.google.com/?cid=12926185383537174289
Agenzia Viaggi Landia Napoli,agenzie di viaggio,"Corso Secondigliano, 550, 80144 Napoli NA, Italy",NA,081 543 6329,http://www.viaggilandia.it/,NOT AVAILABLE,https://maps.google.com/?cid=3274696873982424229
Agenzia Viaggi Skeea Travel -Napoli,agenzie di viaggio,"Corso Bruno Buozzi, 203, 80147 Napoli NA, Italy",NA,081 1895 6398,http://www.skeeatravel.com/,NOT AVAILABLE,https://maps.google.com/?cid=211916553355545586
Travel Cloud Capodichino,agenzie di viaggio,"Via Udalrigo Masoni, 65, 80141 Napoli NA, Italy",NA,375 793 9224,https://www.instagram.com/p/Ch5KIKXohlc/?igshid=YmMyMTA2M2Y=,NOT AVAILABLE,https://maps.google.com/?cid=12860702871171844016
corazontravels,agenzie di viaggio,"Via Nuovo Tempio, 169, 80144 Napoli NA, Italy",NA,081 1951 1006,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/?cid=16674887162032265234
