name,niche,address,state,phone_number,website,email,result_url
Scoop Travel Service S.r.l.,agenzia viaggi,"Via Gian Lorenzo Bernini, 90a, 80129 Napoli NA, Italy",,081 556 4898,https://www.scooptravel.it/,operativo@scooptravel.it,https://maps.google.com/?cid=8699170797921568825
GREETINGS FROM ... Travel & Tourism,agenzia viaggi,"Via Antonio Tari, 18, 80138 Napoli NA, Italy",,081 563 4261,http://www.salutida.com/,info@salutida.com,https://maps.google.com/?cid=16065812251773089946
Trial Travel,agenzia viaggi,"Via Guglielmo Melisurgo, 4, 80133 Napoli NA, Italy",,081 552 9090,http://www.trialtravel.it/,booking@trialtravel.com,https://maps.google.com/?cid=2407559807669335561
inStazione servizi turistici,agenzia viaggi,"P.za Giuseppe Garibaldi, 80142 Napoli NA, Italy",,388 076 9471,https://instazione.it/,info@instazione.it,https://maps.google.com/?cid=9908927097641176045
Mama Tours Travel Designer,agenzia viaggi,"Piazza delle Medaglie D'Oro, 41, 80129 Napoli NA, Italy",,081 578 9292,http://www.mamatours.it/,info@mamatours.com,https://maps.google.com/?cid=4399368533656705643
Lab. Gialù,agenzia viaggi,"V. Salvator Rosa, 80136 Napoli NA, Italy",,081 1956 7312,http://www.piratinviaggio.com/,info@piratinviaggio.com,https://maps.google.com/?cid=16549160935333706663
Travel Tips - Agenzia di Viaggi,agenzia viaggi,"Via Orazio, 149 A, 80122 Napoli NA, Italy",,081 640041,http://www.traveltips.it/,info@traveltips.it,https://maps.google.com/?cid=6501984477581658027
Kiwi Viaggi Napoli,agenzia viaggi,"Corso Arnaldo Lucci, 51, 80142 Napoli NA, Italy",,081 1956 6019,https://www.kiwiviaggi.it/,info@kiwiviaggi.it,https://maps.google.com/?cid=14052853437355295225
Chiaia Viaggi di Daver Sas,agenzia viaggi,"Largo Ferrandina, 1, 80121 Napoli NA, Italy",,081 1957 4904,http://chiaiaviaggi.it/,info@chiaiaviaggi.it,https://maps.google.com/?cid=3331531500320854308
Fancy Tour,agenzia viaggi,"Via Francesco Petrarca, 161, 80122 Napoli NA, Italy",,081 575 2442,https://www.fancy.it/,info@fancy.it,https://maps.google.com/?cid=3828518802875174536
Napoli Official Tour,agenzia viaggi,"Via Domenico Capitelli, 9, 80134 Napoli NA, Italy",,081 551 1064,http://www.napoliofficialtour.com/,info@napoliofficialtour.it,https://maps.google.com/?cid=14078259517506211098
Bongi Travel Tour Operator,agenzia viaggi,"Piazza Vanvitelli, 15, 80129 Napoli NA, Italy",,081 579 5195,http://www.bongitravel.it/,prenotazioni@bongitravel.it,https://maps.google.com/?cid=1611220655801709659
Trentaremi - Tour Operator,agenzia viaggi,"Vico San Domenico Maggiore, 9, 80134 Napoli NA, Italy",,081 379 7086,https://www.trentaremi.it/,info@trentaremi.it,https://maps.google.com/?cid=12774877806592026192
Viaggi in altalena,agenzia viaggi,"Via Duomo, 178, 80138 Napoli NA, Italy",,081 298111,http://www.viaggiinaltalena.com/,info@viaggiinaltalena.it,https://maps.google.com/?cid=10281857860574687493
Schema Vacanze Agenzia Viaggi - Tour Operator,agenzia viaggi,"Centro direzionale, is. g1, Via Giovanni Porzio, 4, 80143 Napoli NA, Italy",,081 767 0387,https://www.schemavacanze.it/,info@schemavacanze.it,https://maps.google.com/?cid=11125191744810576272
Aladino Viaggi - Ag. Vomero (NA),agenzia viaggi,"Via Francesco Cilea, 157, 80127 Napoli NA, Italy",,081 579 9108,http://www.aladino.it/,preventivi@aladino.it,https://maps.google.com/?cid=8282271705322008889
Atomika Viaggi,agenzia viaggi,"Via Fabrizio Pignatelli, 2, 80134 Napoli NA, Italy",,081 1865 8680,http://www.atomikaviaggi.it/,conferme@atomikaviaggi.it,https://maps.google.com/?cid=17381539869288922232
Ontano Travel s.r.l.,agenzia viaggi,"Via Cristoforo Colombo, 248, 80133 Napoli NA, Italy",,081 580 0340,http://www.ontanotravel.com/,info@ontanotravel.com,https://maps.google.com/?cid=3308744384951080984
I Viaggi di Tarsia,agenzia viaggi,"Via Tarsia, 45, 80134 Napoli NA, Italy",,081 1932 3578,http://iviaggiditarsia.it/,info@iviaggiditarsia.it,https://maps.google.com/?cid=1883531283649225947
Agenzia Che Viaggio,agenzia viaggi,"Via Giuseppe di Vittorio, 70, 80029 Sant'Antimo NA, Italy",,081 843 4124,https://www.agenziacheviaggio.it/,info@agenziacheviaggio.it,https://maps.google.com/?cid=15182976260800056169
Lovely Amalfi Coast Tours,agenzia viaggi,"Corso Giuseppe Garibaldi, 32, 80142 Napoli NA, Italy",,339 824 5885,http://www.lovelyamalfitours.com/,info@lovelyamalfitours.com,https://maps.google.com/?cid=3529638464684285580
Venetours Viaggi di M. Cozzi - MSC POINT Agenzia Viaggi e tour Operator,agenzia viaggi,"Via Edoardo Nicolardi, 118, 80131 Napoli NA, Italy",,081 1821 1278,http://www.venetours.it/,info@venetours.it,https://maps.google.com/?cid=12513212510827009749
Naples City Sightseeing,agenzia viaggi,"Largo Castello, P.za Municipio, 80100 Napoli NA, Italy",,081 551 7279,https://www.city-sightseeing.it/it/,inforoma@city-sightseeing.it,https://maps.google.com/?cid=5801274724099661453
Giromondo Tour bus | tour operator Napoli,agenzia viaggi,"Via della Tramontana, 44, 80143 Napoli NA, Italy",,338 327 0986,https://giromondotour.it/,info@giromondotour.it,https://maps.google.com/?cid=6221100655225601568
Lovely Tours in Naples,agenzia viaggi,"Calata Ponticello a Marechiaro, 38, 80123 Napoli NA, Italy",,338 848 9024,https://www.lovelytoursinnaples.it/,info@lovelytoursinnaples.com,https://maps.google.com/?cid=3585057801350830016
